Time_Now,Blanking_Util,Blanking_SKU1_Queue,Blanking_SKU2_Queue,Blanking_SKU3_Queue,Blanking_SKU4_Queue,Press1_Util,Press2_Util,Press3_Util,Press4_Util,Press1_Queue,Press2_Queue,Press3_Queue,Press4_Queue,Cell1_Util,Cell2_Util,Cell3_Util,Cell4_Util,Cell1_Queue,Cell2_Queue,Cell3_Queue,Cell4_Queue,Warehouse1_Queue,Warehouse_2_Queue,Warehouse_3_Queue,Warehouse_4_Queue,c_Cycle1,c_Cycle2,c_Cycle3,c_Cycle4,c_Cell1_SKU1,c_Cell1__SKU2,c_Cell1__SKU3,c_Cell1__SKU4,c_Cell2__SKU1,c_Cell2__SKU2,c_Cell2__SKU3,c_Cell2__SKU4,c_Cell3__SKU1,c_Cell3__SKU2,c_Cell3__SKU3,c_Cell3__SKU4,c_Cell4__SKU1,c_Cell4__SKU2,c_Cell4__SKU3,c_Cell4__SKU4,Paint1_Util,Paint2_Util,Quality_Util,Paint1_Queue,Paint2_Queue,Quality_Queue,Forklift_Util,Forklift_Blanking_Queue,Forklift_Press_Queue,Forklift_Assembly_Queue,c_TotalProducts,SKU1_VA_Time,SKU1_NVA_Time,SKU1_Transport_Time,SKU1_Wait_Time,SKU1_Other_Time,SKU2_VA_Time,SKU2_NVA_Time,SKU2_Transport_Time,SKU2_Wait_Time,SKU2_Other_Time,SKU3_VA_Time,SKU3_NVA_Time,SKU3_Transport_Time,SKU3_Wait_Time,SKU3_Other_Time,SKU4_VA_Time,SKU4_NVA_Time,SKU4_Transport_Time,SKU4_Wait_Time,SKU4_Other_Time,Blanking_Queue
24,0.85485,0.047602,0.048952,0.040345,0.045941,0.449501,0.451135,0.407829,0.455466,77.849296,57.514478,45.660085,58.848156,0.877658,0.746464,0.642307,0.799886,0,0,0,0,198.42139,19.15976,52.557842,89.213221,24219,15920,13440,43143,15277,11003,0,3506,0,2859,0,5064,0,1399,3912,0,0,0,9721,7171,0.490048,0.511215,0.442331,0,0,49.485151,0.606428,156.615829,143.181056,138.469291,55572,1.525606,0,0.534608,0.752989,0,1.522829,0,0.532009,0.412509,0,1.525084,0,0.537182,0.44176,0,1.523319,0,0.535097,0.482738,0,63.647192
24,0.857737,0.043126,0.049696,0.049044,0.047236,0.385002,0.484287,0.46269,0.427359,56.287599,73.805595,57.518495,65.415521,0.848545,0.698905,0.703265,0.833815,0,0,0,0,168.676734,22.070721,67.400176,90.50622,22439,17655,15651,39003,13138,12379,0,4257,0,3226,0,4258,0,1131,4546,0,0,0,11341,5844,0.492045,0.509841,0.44162,0,0,48.389175,0.616595,154.46777,139.991973,135.110785,55495,1.525592,0,0.536418,0.732655,0,1.52287,0,0.536503,0.436265,0,1.524997,0,0.536453,0.455904,0,1.523388,0,0.53349,0.500132,0,65.472323
24,0.85469,0.051565,0.040291,0.049999,0.043193,0.519095,0.420252,0.399098,0.408348,100.409142,53.283208,45.717541,44.342201,0.894826,0.690635,0.627661,0.804426,0,0,0,0,266.487044,17.191602,51.932365,77.076895,25889,14899,13557,40258,16949,10344,0,2322,0,2708,0,4630,0,1162,3958,0,0,0,9827,7141,0.476468,0.501568,0.435011,0,0,48.910438,0.58418,163.82595,147.389228,141.985993,54681,1.525539,0,0.537016,0.769849,0,1.522811,0,0.535273,0.410681,0,1.525122,0,0.54161,0.448881,0,1.523374,0,0.533749,0.463654,0,63.02564
24,0.853957,0.046422,0.056823,0.032957,0.051994,0.407139,0.475841,0.411851,0.461628,71.32459,81.841198,48.490704,49.253171,0.865431,0.720294,0.645533,0.811074,0,0,0,0,166.533736,21.288063,65.011482,84.327636,22522,17152,13937,43475,13930,11950,0,4154,0,3108,0,4578,0,1238,4041,0,0,0,10059,6995,0.4878,0.507997,0.438384,0,0,48.531213,0.615652,149.038202,140.641122,136.28322,55026,1.525571,0,0.539486,0.744645,0,1.522824,0,0.539759,0.443213,0,1.524968,0,0.538533,0.453727,0,1.523449,0,0.535431,0.450399,0,63.902325
24,0.836828,0.048752,0.064555,0.03679,0.03893,0.400051,0.517849,0.398891,0.348155,66.539042,83.070308,49.146944,41.171113,0.844006,0.607351,0.626916,0.748288,0,0,0,0,173.485926,23.80161,56.405005,41.541149,23439,18609,13230,33615,13553,13009,0,2902,0,3416,0,3160,0,1277,3876,0,0,0,9639,5970,0.462763,0.483355,0.417025,0,0,47.833454,0.574555,159.120806,145.382475,139.958154,52408,1.525625,0,0.53542,0.75415,0,1.522907,0,0.533485,0.447582,0,1.525122,0,0.534418,0.467008,0,1.52348,0,0.534159,0.429481,0,54.388233
24,0.841354,0.039507,0.060867,0.034746,0.040882,0.38583,0.52171,0.336429,0.448658,63.701584,72.472364,46.485778,44.684755,0.838122,0.673142,0.58287,0.759368,0,0,0,0,150.82319,21.765678,52.569015,58.578279,22975,18356,11293,38849,13331,12775,0,3194,0,3353,0,3882,0,1664,3292,0,0,0,8199,8199,0.467528,0.492835,0.423205,0,0,47.406192,0.595272,155.82888,140.301132,136.884405,53193,1.525637,0,0.536684,0.70851,0,1.522875,0,0.538988,0.416801,0,1.525089,0,0.536697,0.48988,0,1.523419,0,0.537071,0.420037,0,56.183573
24,0.857859,0.053155,0.036226,0.044995,0.046205,0.489388,0.387471,0.428204,0.461087,91.662271,55.812187,45.117426,67.168453,0.892463,0.734129,0.648072,0.80046,0,0,0,0,184.58729,15.777644,50.396191,101.647569,24625,13889,14348,42436,16118,9642,0,4069,0,2510,0,5246,0,1059,4177,0,0,0,10414,6251,0.487325,0.502338,0.437109,0,0,48.028755,0.606222,162.969627,145.650743,141.469939,54885,1.525667,0,0.537833,0.688078,0,1.522759,0,0.53623,0.423473,0,1.525078,0,0.537213,0.424131,0,1.523328,0,0.534906,0.499327,0,64.957114
24,0.854573,0.05074,0.032271,0.051758,0.049885,0.456174,0.277074,0.463196,0.548464,71.017741,32.307874,55.309058,89.226688,0.8631,0.756584,0.667344,0.874919,0,0,0,0,115.209759,10.819908,76.196223,120.189359,20864,10043,15794,45722,15736,7039,0,5734,0,1847,0,6060,0,638,4598,0,0,0,11411,6794,0.491456,0.499989,0.438616,0,0,46.003194,0.636119,147.597818,135.645661,131.512275,55111,1.525616,0,0.536013,0.589119,0,1.522881,0,0.537518,0.393965,0,1.525032,0,0.538432,0.465282,0,1.523364,0,0.536202,0.526828,0,64.151355
24,0.845752,0.046083,0.039202,0.038007,0.054992,0.417993,0.424812,0.390398,0.46988,70.736155,51.038769,36.657663,49.914261,0.846612,0.698626,0.61537,0.783849,0,0,0,0,143.020835,17.185801,40.016688,77.805449,22139,15121,13071,41824,14206,10561,0,4208,0,2767,0,4658,0,1213,3831,0,0,0,9484,7083,0.473404,0.490476,0.424814,0,0,46.117844,0.606313,159.929131,135.291581,134.722088,53382,1.525639,0,0.532981,0.66391,0,1.522879,0,0.53373,0.409184,0,1.525096,0,0.535418,0.408788,0,1.523452,0,0.535698,0.447012,0,57.335114
24,0.849636,0.050612,0.039158,0.043233,0.044217,0.493555,0.38091,0.414284,0.432356,96.159159,47.820465,57.801676,41.970175,0.890766,0.689794,0.641802,0.80011,0,0,0,0,218.888405,15.302864,79.892644,93.908541,25095,13519,14077,40321,16830,9417,0,3153,0,2470,0,4832,0,1087,4113,0,0,0,10206,6523,0.477481,0.49473,0.429155,0,0,48.005942,0.589,162.946585,144.517352,142.843196,53901,1.52558,0,0.535182,0.759407,0,1.522824,0,0.53555,0.410916,0,1.525119,0,0.533275,0.513914,0,1.523443,0,0.534802,0.494243,0,60.429819
